Title;Release Date;Color/B&W;Genre;Language;Country;Rating;Lead Actor;Director Name;Lead Actor FB Likes;Cast FB Likes;Director FB Likes;Movie FB Likes;IMDb Score (1-10);Total Reviews;Duration (min);Gross Revenue;Budget
Over the Hill to the Poorhouse;9/15/20;Black and White;Crime;English;USA;Not Rated;Stephen Carr;Harry F. Millarde;2;4;0;0;4,8;1;110;3000000;100000
Metropolis;1/26/27;Black and White;Drama;German;Germany;Not Rated;Brigitte Helm;Fritz Lang;136;203;756;12000;8,3;260;145;26435;6000000
The Broadway Melody;11/11/29;Black and White;Musical;English;USA;Passed;Anita Page;Harry Beaumont;77;109;4;167;6,3;36;100;2808000;379000
42nd Street;8/29/33;Black and White;Comedy;English;USA;Unrated;Ginger Rogers;Lloyd Bacon;610;995;24;439;7,7;65;89;2300000;439000
Top Hat;4/15/35;Black and White;Comedy;English;USA;Approved;Ginger Rogers;Mark Sandrich;610;824;10;1000;7,8;66;81;3000000;609000
Modern Times;10/7/36;Black and White;Comedy;English;USA;G;Paulette Goddard;Charles Chaplin;309;352;0;0;8,6;120;87;163245;1500000
Snow White and the Seven Dwarfs;2/2/37;Color;Animation;English;USA;Approved;Adriana Caselotti;William Cottrell;82;229;0;0;7,7;145;83;184925485;2000000
Gone with the Wind;11/12/39;Color;Drama;English;USA;G;Hattie McDaniel;Victor Fleming;503;1862;149;16000;8,2;157;226;198655278;3977000
The Wizard of Oz;4/9/39;Black and White;Adventure;English;USA;;Margaret Hamilton;Victor Fleming;695;2509;149;14000;8,1;213;102;22202612;2800000
Fantasia;5/18/40;Color;Animation;English;USA;G;Leopold Stokowski;James Algar;16;16;11;3000;7,8;99;120;76400000;2280000
Pinocchio;10/12/40;Color;Animation;English;Poland;Approved;Mel Blanc;Norman Ferguson;1000;1178;3;0;7,5;105;88;84300000;2600000
Duel in the Sun;6/7/46;Color;Drama;Polish;Poland;Unrated;Joseph Cotten;King Vidor;469;2037;54;403;6,9;32;144;20400000;8000000
The Best Years of Our Lives;4/26/46;Black and White;Drama;Polish;Ukraine;Not Rated;Myrna Loy;William Wyler;749;1941;355;0;8,1;97;172;23650000;2100000
The Lady from Shanghai;12/7/47;Black and White;Crime;Ukrainian;Ukraine;Not Rated;Rita Hayworth;Orson Welles;1000;1055;0;0;7,7;90;92;7927;2300000
The Pirate;4/7/48;Color;Adventure;Ukrainian;Ukraine;Approved;Gladys Cooper;Vincente Minnelli;89;282;136;359;7,1;41;102;2956000;3700000
Annie Get Your Gun;4/2/50;Color;Biography;English;USA;Passed;Keenan Wynn;George Sidney;277;731;24;456;7;21;107;8000000;3768785
The Greatest Show on Earth;10/23/52;Color;Drama;English;USA;Not Rated;Gloria Grahame;Cecil B. DeMille;232;825;309;625;6,7;44;152;36000000;4000000
The Beast from 20,000 Fathoms;8/22/53;Black and White;Adventure;English;USA;Approved;Kenneth Tobey;Eug̬ne Louri̩;57;205;7;465;6,7;67;80;5000000;210000
The Robe;5/15/53;Color;Drama;English;USA;Unrated;Richard Burton;Henry Koster;726;1920;28;0;6,8;42;135;36000000;5000000
Psycho;11/4/60;Black and White;Horror;English;USA;R;Janet Leigh;Alfred Hitchcock;606;1885;13000;18000;8,5;290;108;32000000;806947
